id,city_name,country_name
1,Álava,España
2,Albacete,España
3,Alicante,España
4,Almería,España
5,Asturias,España
6,Ávila,España
7,Badajoz,España
8,Barcelona,España
9,Burgos,España
10,Cáceres,España
11,Cádiz,España
12,Cantabria,España
13,Castellón,España
14,Ciudad Real,España
15,Córdoba,España
16,Cuenca,España
17,Girona,España
18,Granada,España
19,Guadalajara,España
20,Gipuzkoa,España
21,Huelva,España
22,Huesca,España
23,Illes Balears,España
24,Jaén,España
25,La Coruña,España
26,La Rioja,España
27,Las Palmas,España
28,León,España
29,Lleida,España
30,Lugo,España
31,Madrid,España
32,Málaga,España
33,Murcia,España
34,Navarra,España
35,Ourense,España
36,Palencia,España
37,Pontevedra,España
38,Salamanca,España
39,Santa Cruz de Tenerife,España
40,Segovia,España
41,Sevilla,España
42,Soria,España
43,Tarragona,España
44,Teruel,España
45,Toledo,España
46,Valencia,España
47,Valladolid,España
48,Vizcaya,España
49,Zamora,España
50,Zaragoza,España
51,Ceuta,España
52,Melilla,España